Firm,Date,Source,URL,Sub-Asset Class,Asset Class Category,Canva Groupings,Asset Class,View,Full Commentary,confidence,band,review_flag
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Oil,Alts - Commodities,Commodities,Alternatives,O,"AB expects oil to settle structurally higher than pre-war on Middle East infrastructure damage, an upward price forecast that reads as constructive on oil. Evidence: But it seems to us that the damage to oil-related infrastructure in the Middle East means that oil prices are likely to settle at least somewhat higher than before the war.. Locator: p.1.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,USD,Currencies,Currencies,Currencies,O,"AB sees the dollar benefiting from safe-haven flows while the Iran conflict stays intense, a near-term positive, with the path thereafter the acknowledged counterpoint. Evidence: USD: The dollar is likely to benefit from safe-haven flows while the conflict remains intense. It's path thereafter is less clear.. Locator: p.3 — 'Central Narrative' box.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Duration,Fixed Income - Duration,Fixed Income - General,Fixed Income,O,"AB argues markets over-price tightening from the oil shock so yields should fall over time, an implicitly constructive call on duration; no geography stated so snapped to the generic Duration leaf. Evidence: Yields: We believe markets are likely to price too much tightening based on rising oil prices, which should bring yields down over time.. Locator: p.3 — 'Central Narrative' box.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,CNY,Currencies,Currencies,Currencies,U,"AB's forecast has USD/CNY drifting from 7.10 to 7.20, an explicit projected renminbi depreciation consistent with its broader safe-haven-USD narrative. Evidence: China — FX Rates vs. USD: 2026F 7.10, 2027F 7.20. Locator: p.5 — 'China' forecast table (FX Rates vs. USD).",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,China Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,U,"AB forecasts the China 10-year yield rising from 2.00% to 2.25%, a modest upward yield path that reads mildly negative for China government bond prices. Evidence: China — 10-Yr Bond Yield (%): 2026F 2.00, 2027F 2.25. Locator: p.5 — 'China' forecast table (10-Yr Bond Yield).",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Euro Govt Bonds,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,N,"Two-sided rate path — ECB at neutral/on hold with increased near-term hike risk, then cuts (10-yr forecast eases 3.00→2.60) — nets to a neutral stance on euro duration. Evidence: European Central Bank (ECB) policy is at neutral and remains on hold for now. Risks of hikes have increased but are conditional on the level of energy prices at their June meeting. For now, the ECB can afford to wait and assess the upcoming data as well as the geopolitical evolutions.. Locator: p.6. Checker: unconfirmed (The quoted evidence says ECB policy is neutral/on hold with conditional hike risk, but does not itself establish a neutral Euro government bond view.).",74,Medium,review
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,UK Gilts,Fixed Income - Sovereigns Europe,Fixed Income - Rates & Sovereigns,Fixed Income,O,"10-yr gilt yield forecast falls ~70bps as the BoE is expected to resume cuts from Q4 2026 with hikes seen as unlikely — a constructive (lower-yield) duration view. Evidence: UK — 10-Yr Bond Yield (%): 4.80 (2026F), 4.10 (2027F). Locator: p.7 — UK forecast table.",75,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,GBP,Currencies,Currencies,Currencies,U,"GBP/USD forecast to depreciate from 1.34 to 1.32 over the horizon — a mild negative sterling view. Evidence: UK — FX Rates vs. USD: 1.34 (2026F), 1.32 (2027F). Locator: p.7 — UK forecast table.",85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Japan Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,U,Hawkish stance — policy rate forecast rises 1.00→1.25 and BOJ seen raising rates again — pressures Japanese government bonds (underweight duration). Evidence: Wage and inflation data are consistent with our view that the Bank of Japan (BOJ) will raise rates again in the coming months.. Locator: p.8.,85,High,none
AllianceBernstein,4/2/2026,Global Macro Outlook: Second Quarter 2026,https://marketsrecon.com/redirect?name=app_content&parameters%5Bslug%5D=global-macro-outlook-second-quarter-2026,Australia Govt Bonds,Fixed Income - Sovereigns APAC,Fixed Income - Rates & Sovereigns,Fixed Income,O,"Australian 10-yr yield forecast falls ~50bps over the horizon — a constructive (lower-yield) view on Australian government bonds. Evidence: Australia — Long Rates (%): 4.75 (2026F), 4.25 (2027F). Locator: p.10 — 'Forecast Table'.",85,High,none
